 6.00000000e+02 3.00000000e+00 5.00000000e+00 8.00000000e+02
 1.90000000e+02 2.00000000e+00 2.00000000e+00 2.05000000e+02
 2.10000000e+02 2.00000000e+00 2.00000000e+00 2.29000000e+02
 3.64000000e+02 2.00000000e+00 2.00000000e+00 5.50000000e+02
 3.25000000e+02 2.00000000e+00 4.00000000e+00 4.50000000e+02
 1.80000000e+02 2.00000000e+00 2.00000000e+00 2.30000000e+02
 1.33000000e+02 2.00000000e+00 2.00000000e+00 2.39000000e+02
 5.00000000e+02 2.00000000e+00 3.00000000e+00 6.50000000e+02
 1.07000000e+02 1.00000000e+00 2.00000000e+00 2.09000000e+02
 3.20000000e+02 2.00000000e+00 3.00000000e+00 2.99000000e+02
 5.00000000e+02 2.00000000e+00 4.00000000e+00 7.50000000e+02
